"","id","member_id","loan_amnt","funded_amnt","funded_amnt_inv","term","int_rate","installment","grade","sub_grade","emp_title","emp_length","home_ownership","annual_inc","verification_status","issue_d","loan_status","pymnt_plan","url","desc","purpose","title","zip_code","addr_state","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","mths_since_last_delinq","mths_since_last_record","open_acc","pub_rec","revol_bal","revol_util","total_acc","initial_list_status","out_prncp","out_prncp_inv","total_pymnt","total_pymnt_inv","total_rec_prncp","total_rec_int","total_rec_late_fee","recoveries","collection_recovery_fee","last_pymnt_d","last_pymnt_amnt","next_pymnt_d","last_credit_pull_d","collections_12_mths_ex_med","mths_since_last_major_derog","policy_code","application_type","annual_inc_joint","dti_joint","verification_status_joint","acc_now_delinq","tot_coll_amt","tot_cur_bal","open_acc_6m","open_act_il","open_il_12m","open_il_24m","mths_since_rcnt_il","total_bal_il","il_util","open_rv_12m","open_rv_24m","max_bal_bc","all_util","total_rev_hi_lim","inq_fi","total_cu_tl","inq_last_12m","acc_open_past_24mths","avg_cur_bal","bc_open_to_buy","bc_util","chargeoff_within_12_mths","delinq_amnt","mo_sin_old_il_acct","mo_sin_old_rev_tl_op","mo_sin_rcnt_rev_tl_op","mo_sin_rcnt_tl","mort_acc","mths_since_recent_bc","mths_since_recent_bc_dlq","mths_since_recent_inq","mths_since_recent_revol_delinq","num_accts_ever_120_pd","num_actv_bc_tl","num_actv_rev_tl","num_bc_sats","num_bc_tl","num_il_tl","num_op_rev_tl","num_rev_accts","num_rev_tl_bal_gt_0","num_sats","num_tl_120dpd_2m","num_tl_30dpd","num_tl_90g_dpd_24m","num_tl_op_past_12m","pct_tl_nvr_dlq","percent_bc_gt_75","pub_rec_bankruptcies","tax_liens","tot_hi_cred_lim","total_bal_ex_mort","total_bc_limit","total_il_high_credit_limit","revol_bal_joint","sec_app_earliest_cr_line","sec_app_inq_last_6mths","sec_app_mort_acc","sec_app_open_acc","sec_app_revol_util","sec_app_open_act_il","sec_app_num_rev_accts","sec_app_chargeoff_within_12_mths","sec_app_collections_12_mths_ex_med","sec_app_mths_since_last_major_derog","hardship_flag","hardship_type","hardship_reason","hardship_status","deferral_term","hardship_amount","hardship_start_date","hardship_end_date","payment_plan_start_date","hardship_length","hardship_dpd","hardship_loan_status","orig_projected_additional_accrued_interest","hardship_payoff_balance_amount","hardship_last_payment_amount","debt_settlement_flag","debt_settlement_flag_date","settlement_status","settlement_date","settlement_amount","settlement_percentage","settlement_term"
"291489","",NA,13000,13000,13000," 60 months","  9.99%",276.15,"B","B3","manager","10+ years","MORTGAGE",35000,"Not Verified","May-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","442xx","OH",17.52,0,"Oct-1983",0,43,NA,10,0,7165,"20.6%",15,"w",0,0,8022.78,8022.78,5482.33,2540.45,0,0,0,"Oct-2017",276.15,"","Sep-2018",0,43,1,"Individual",NA,NA,"",0,0,84316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34800,NA,NA,NA,4,8432,19669,23.2,0,0,126,379,12,12,4,24,NA,1,NA,1,4,6,5,5,3,8,8,6,10,0,0,0,1,93.3,0,0,0,136300,11418,25600,8000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"97716","",NA,14400,14400,14400," 36 months","  7.89%",450.52,"A","A5","Supervisor","7 years","RENT",60000,"Source Verified","Nov-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","582xx","ND",24.78,2,"Apr-2000",0,21,NA,19,0,9151,"34.1%",35,"w",0,0,14941.5,14941.5,14400,541.5,0,0,0,"May-2016",12701.52,"","May-2016",0,NA,1,"Individual",NA,NA,"",0,0,100868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26800,NA,NA,NA,1,5309,16651,31.5,0,0,181,186,5,5,0,5,21,2,21,0,4,6,6,10,21,8,14,6,19,0,0,0,1,82.9,0,0,0,121840,100868,24300,95040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"131893","",NA,35000,35000,34900," 36 months","  8.18%",1099.69,"B","B1","CNO","1 year","OWN",2e+05,"Source Verified","Sep-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","151xx","PA",18.44,1,"Dec-1992",0,22,NA,16,0,31134,"71.1%",32,"f",0,0,39516.2726326124,39403.37,35000,4516.27,0,0,0,"Sep-2018",758.93,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,157209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43800,NA,NA,NA,3,10481,7173,74.4,0,0,146,273,23,22,2,23,NA,NA,22,0,7,9,7,11,9,12,20,9,16,0,0,0,0,96.7,42.9,0,0,238904,157209,28000,158155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"191164","",NA,14500,14500,14500," 36 months"," 13.33%",490.88,"C","C3","home attendant","2 years","RENT",29000,"Verified","Aug-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","112xx","NY",25.46,0,"May-2012",0,NA,NA,14,0,10069,"37.3%",15,"w",0,0,17661.5848553989,17661.58,14500,3161.58,0,0,0,"Sep-2018",0.64,"","Sep-2018",0,NA,1,"Individual",NA,NA,"",0,0,20008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27000,NA,NA,NA,10,1429,14493,35.9,0,0,15,38,7,7,0,7,NA,12,NA,0,6,10,8,8,2,12,13,10,14,0,0,0,2,100,25,0,0,38512,20008,22600,11512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"30282","",NA,24000,24000,24000," 36 months","  9.17%",765.1,"B","B2","Table Games Shift Supervisor","7 years","MORTGAGE",81000,"Not Verified","Dec-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","980xx","WA",25.29,0,"Mar-2001",0,NA,NA,21,0,32817,"39.7%",30,"f",0,0,26339.8160689274,26339.82,24000,2339.82,0,0,0,"Mar-2017",15640.65,"","Oct-2018",0,NA,1,"Individual",NA,NA,"",0,0,59068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82700,NA,NA,NA,8,2953,40516,38.5,0,0,177,133,6,6,0,6,NA,7,NA,0,8,10,16,18,9,19,21,10,21,0,0,0,4,100,20,0,0,139604,59068,65900,56904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"117515","",NA,10400,10400,10350," 60 months"," 17.57%",261.67,"D","D4","sales manager for long term care","7 years","MORTGAGE",70000,"Not Verified","Oct-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","445xx","OH",15.79,0,"Oct-1976",2,NA,NA,5,0,8696,"80.5%",21,"f",0,0,10866.41,10814.17,10400,466.41,0,0,0,"Jan-2016",10353.22,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,799,154043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10800,NA,NA,NA,3,30809,2104,80.5,0,0,135,467,16,5,1,16,NA,1,NA,0,2,2,2,6,11,2,9,2,5,0,0,0,1,95.2,50,0,0,174851,31685,10800,29651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"189869","",NA,10500,10500,10500," 36 months"," 13.33%",355.46,"C","C3","agent","10+ years","MORTGAGE",76900,"Not Verified","Aug-2015","Fully Paid","n",NA,"","home_improvement","Home improvement","774xx","TX",29.56,0,"Jun-1987",1,24,NA,22,0,24780,"84%",56,"w",0,0,12223.1310819392,12223.13,10500,1723.13,0,0,0,"Mar-2017",5840.4,"","May-2019",0,24,1,"Individual",NA,NA,"",0,0,135176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29500,NA,NA,NA,10,6437,2216,86.4,0,0,141,337,3,3,2,14,NA,3,NA,1,8,17,7,23,14,18,39,17,21,0,0,0,5,98.2,87.5,0,0,147458,59431,16300,37990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"138574","",NA,24000,24000,24000," 60 months"," 18.25%",612.72,"E","E1","RN","8 years","MORTGAGE",60000,"Source Verified","Sep-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","700xx","LA",30.54,0,"Jan-2002",1,35,NA,12,0,16917,"91.4%",29,"w",0,0,33072.9552952116,33072.96,24000,9072.96,0,0,0,"Mar-2018",15328.41,"","Mar-2018",0,NA,1,"Individual",NA,NA,"",0,0,161739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18500,NA,NA,NA,4,13478,0,101.2,0,0,164,114,17,9,2,17,NA,2,NA,0,6,7,6,9,11,7,16,7,12,0,0,0,1,96.6,100,0,0,199949,68063,16300,78939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"378518","",NA,11125,11125,11125," 36 months"," 15.59%",388.88,"D","D1","nurse","4 years","MORTGAGE",50000,"Verified","Feb-2015","Charged Off","n",NA,"","debt_consolidation","Debt consolidation","320xx","FL",21.99,0,"Nov-1998",1,33,NA,13,0,15722,"83.6%",29,"f",0,0,6857,6857,4526.53,2065.16,0,265.31,47.7558000004,"Aug-2016",388.88,"","Jul-2018",0,61,1,"Individual",NA,NA,"",0,0,234379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18800,NA,NA,NA,11,18029,455,97,0,0,195,172,4,4,2,4,NA,5,61,1,6,9,6,13,9,10,18,9,13,0,0,0,3,86.2,100,0,0,260142,28628,15400,20280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"340190","",NA,20000,20000,19950," 36 months"," 12.29%",667.06,"C","C1","Teacher","10+ years","MORTGAGE",78000,"Source Verified","Mar-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","902xx","CA",20.43,1,"Jan-1999",1,21,NA,10,0,20765,"50.5%",18,"f",0,0,23910.4734380281,23850.7,20000,3910.47,0,0,0,"Feb-2018",1332.99,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,20765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41100,NA,NA,NA,4,2077,18579,52,0,0,NA,194,4,4,0,41,21,4,21,0,5,8,6,12,0,10,17,8,10,0,0,0,1,94.4,50,0,0,41100,20765,38700,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"8355","",NA,15000,15000,15000," 36 months"," 10.64%",488.53,"B","B4","Utility Teller","3 years","OWN",80000,"Not Verified","Dec-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","395xx","MS",16.07,0,"Nov-1987",1,NA,NA,13,0,52766,"50.4%",29,"w",0,0,16823.186188254,16823.19,15000,1823.19,0,0,0,"May-2017",9028.88,"","Jun-2017",0,NA,1,"Individual",NA,NA,"",0,0,52766,2,0,1,1,10,0,NA,3,5,26056,50,104700,0,1,1,6,5277,46463,51.4,0,0,79,337,6,6,0,6,NA,4,NA,0,6,7,8,15,5,12,23,7,13,0,0,0,4,100,37.5,0,0,104700,52766,95600,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"162808","",NA,10000,10000,9950," 60 months"," 16.99%",248.48,"D","D3","Project Manager - IT","4 years","RENT",42000,"Verified","Aug-2015","Current","n",NA,"","debt_consolidation","Debt consolidation","367xx","AL",19.9,0,"Aug-2005",0,NA,NA,9,0,13156,"31.1%",14,"f",3303.33,3286.82,11187.72,11131.78,6696.67,4491.05,0,0,0,"May-2019",248.48,"Jun-2019","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,27645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42300,NA,NA,NA,7,3072,25644,33.9,0,0,120,53,6,6,0,6,NA,17,NA,0,5,5,6,9,4,7,10,5,9,0,0,0,4,100,16.7,0,0,61450,27645,38800,19150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"155962","",NA,19200,19200,19200," 36 months"," 16.55%",680.25,"D","D2","Table Games Dealer","< 1 year","RENT",72000,"Not Verified","Aug-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","925xx","CA",10.5,0,"Sep-1999",2,NA,NA,7,0,10580,"59.1%",23,"f",0,0,24453.2328291442,24453.23,19200,5253.23,0,0,0,"Aug-2018",679.79,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,17448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17900,NA,NA,NA,4,2493,155,97.4,0,0,191,174,3,3,0,103,NA,1,NA,0,2,6,2,5,12,6,11,6,7,0,0,0,2,100,100,0,0,26840,17448,6000,8940,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"143553","",NA,6000,6000,6000," 36 months","  7.89%",187.72,"A","A5","Sr Design Analyst ","4 years","MORTGAGE",90000,"Source Verified","Sep-2015","Fully Paid","n",NA,"","home_improvement","Home improvement","060xx","CT",13.09,2,"May-1994",0,6,NA,9,0,13584,"40.3%",21,"w",0,0,6755.041951054,6755.04,6000,755.04,0,0,0,"Sep-2018",187.47,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,0,31811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33700,NA,NA,NA,3,3535,19448,40.5,0,0,177,256,12,12,0,12,6,12,6,0,5,6,6,9,9,7,11,6,9,0,0,0,1,81,16.7,0,0,66862,31811,32700,33162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"398725","",NA,32000,32000,32000," 60 months"," 20.99%",865.53,"E","E4","Sr Property Manager","10+ years","MORTGAGE",85000,"Verified","Jan-2015","Fully Paid","n",NA,"","credit_card","Credit card refinancing","078xx","NJ",11.45,1,"Aug-2004",1,5,NA,10,0,12991,"59.6%",21,"w",0,0,32120.34,32120.34,32000,120.34,0,0,0,"Feb-2015",32157.66,"","May-2019",0,5,1,"Individual",NA,NA,"",0,242,400687,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21800,NA,NA,NA,2,40069,5666,61.7,0,0,125,116,21,18,7,74,NA,0,29,0,3,6,3,4,4,7,9,6,10,0,0,1,0,90.5,66.7,0,0,632288,34500,14800,29844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
"191557","",NA,14350,14350,14350," 36 months"," 13.99%",490.38,"C","C4","Clinical Nurse Specialist","< 1 year","MORTGAGE",150000,"Not Verified","Jul-2015","Fully Paid","n",NA,"","debt_consolidation","Debt consolidation","920xx","CA",17.74,2,"Jun-1993",1,2,NA,19,0,23463,"62.4%",45,"w",0,0,16494.82,16494.82,14350,2144.82,0,0,0,"Nov-2016",9217.19,"","May-2019",0,NA,1,"Individual",NA,NA,"",0,558,477475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37600,NA,NA,NA,9,26526,8683,67.5,0,0,159,265,9,4,5,23,NA,2,17,0,4,9,5,7,16,14,24,9,19,0,0,0,5,88.9,40,0,0,571834,164685,26700,144234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N","","","",NA,NA,"","","",NA,NA,"",NA,NA,NA,"N","","","",NA,NA,NA
