"","Product_ID","User_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","TC_Code","Product_Category_1","Product_Category_2","Product_Category_3","Purchase"
"531096","P00277142",1003801,"M","18-25",12,"B","0",0,8,11,16,NA,4598
"146031","P00148842",1004491,"M","18-25",4,"C","3",0,40,6,8,16,20649
"258480","P00310842",1003824,"M","26-35",17,"A","3",1,32,6,8,10,16488
"183999","P00161542",1004379,"M","26-35",4,"B","3",0,14,2,15,16,6947
"286194","P00251942",1002024,"M","0-17",19,"C","2",0,30,1,2,5,15777
"47040","P00343042",1001232,"F","18-25",4,"C","2",0,16,5,18,NA,8580
"77342","P00237542",1005915,"M","18-25",4,"C","0",0,36,1,15,16,19056
"109511","P00353642",1004852,"M","36-45",0,"C","3",1,10,5,8,NA,5414
"365688","P00241542",1002225,"M","26-35",5,"B","1",1,24,1,6,NA,11996
"410482","P00321742",1003227,"F","26-35",14,"A","2",0,10,5,8,17,5450
"34170","P00324942",1005269,"M","18-25",0,"B","4+",0,14,5,NA,NA,6975
"509458","P00288542",1000482,"M","26-35",14,"A","2",1,20,8,NA,NA,10017
"162047","P00111742",1001087,"M","26-35",16,"B","1",0,40,15,NA,NA,21183
"47238","P00365242",1001264,"M","26-35",1,"A","3",0,14,5,8,NA,7003
"532627","P00302942",1004007,"M","36-45",12,"A","1",1,8,8,NA,NA,4060
"458628","P00030842",1004543,"M","26-35",2,"A","0",0,22,1,2,15,11714
"94586","P00060242",1002619,"M","36-45",12,"C","1",0,16,3,4,NA,8354
"498064","P00003242",1004661,"M","46-50",15,"B","4+",1,12,8,15,NA,6041
"147627","P00147942",1004772,"M","55+",17,"C","2",0,30,1,16,NA,15705
"29410","P00295842",1004471,"M","26-35",6,"A","1",0,14,5,8,NA,7060
"311261","P00207242",1005972,"F","26-35",20,"B","0",0,14,5,NA,NA,6956
"58192","P00357242",1002986,"M","26-35",4,"A","2",1,14,5,NA,NA,7007
"361996","P00328242",1001717,"F","51-55",6,"B","1",0,12,8,NA,NA,5818
"521335","P00005142",1002208,"M","26-35",0,"C","1",0,14,5,NA,NA,6930
"455280","P00116242",1004064,"M","46-50",0,"A","1",1,12,8,15,NA,6191
"389659","P00007642",1005964,"M","18-25",5,"B","1",0,40,7,NA,NA,20384
"358404","P00154042",1001204,"M","26-35",7,"B","4+",0,36,1,2,15,18989
"449682","P00259342",1003308,"F","18-25",20,"B","3",1,16,5,9,NA,8730
"223149","P00177542",1004381,"M","26-35",4,"B","3",1,30,1,8,NA,15654
"305871","P00000742",1005107,"F","46-50",0,"B","0",0,8,5,14,NA,3658
"28792","P00025442",1004387,"F","18-25",4,"B","0",0,22,1,2,9,11753
"436534","P00185342",1001204,"M","26-35",7,"B","4+",0,10,3,4,NA,5316
"350786","P00178242",1006040,"M","26-35",6,"B","2",0,16,8,NA,NA,7977
"529476","P00163442",1003584,"M","18-25",0,"C","4+",1,24,6,8,13,12626
"218269","P00110142",1003675,"M","36-45",7,"B","3",0,32,7,NA,NA,16270
"357884","P00193342",1001146,"F","18-25",16,"B","2",1,6,11,16,NA,3202
"521862","P00020742",1002320,"F","51-55",1,"C","1",1,10,5,NA,NA,5176
"330145","P00262342",1002896,"M","18-25",14,"B","0",0,34,15,16,NA,17204
"73285","P00229742",1005285,"M","18-25",4,"A","1",0,30,1,16,NA,15790
"494971","P00283342",1004194,"M","18-25",4,"C","1",1,6,5,14,NA,3589
"49319","P00274442",1001575,"F","51-55",7,"C","4+",1,30,1,18,NA,15519
"137901","P00151042",1003328,"M","55+",19,"C","2",1,10,5,NA,NA,5345
"209530","P00289642",1002237,"F","36-45",6,"B","1",0,16,8,NA,NA,8056
"264840","P00037142",1004776,"F","26-35",3,"C","1",1,38,1,2,5,19526
"263497","P00287542",1004526,"M","26-35",20,"B","2",1,16,8,NA,NA,7931
"462309","P00287542",1005172,"F","36-45",11,"B","1",0,20,8,NA,NA,9965
"98252","P00173242",1003256,"M","26-35",15,"C","1",1,16,5,NA,NA,8809
"90908","P00100842",1001968,"M","26-35",11,"B","2",0,14,5,NA,NA,7053
"355230","P00324642",1000752,"F","26-35",3,"A","3",0,12,8,NA,NA,6112
"443245","P00109542",1002161,"F","36-45",2,"C","2",1,12,8,14,17,6169
"142927","P00362042",1004030,"M","36-45",7,"B","3",1,10,5,7,NA,5281
"482937","P00297042",1002331,"M","55+",1,"A","1",1,18,8,NA,NA,9807
"121812","P00317842",1000838,"M","51-55",17,"C","0",0,20,8,NA,NA,10069
"456068","P00259342",1004186,"M","26-35",7,"B","1",1,4,5,9,NA,1923
"71261","P00248942",1004950,"M","26-35",16,"A","1",1,30,1,6,14,15454
"442652","P00191642",1002063,"M","26-35",4,"A","3",0,16,3,4,12,7944
"433809","P00219742",1000808,"M","26-35",7,"B","1",1,32,6,11,16,16567
"471386","P00221242",1000651,"M","36-45",7,"B","2",0,16,1,17,NA,8338
"186466","P00223542",1004771,"F","26-35",4,"A","0",0,30,1,8,17,15369
"90977","P00358342",1001976,"M","36-45",5,"C","0",1,14,11,15,16,7437
"4861","P00249542",1000792,"M","26-35",17,"B","2",0,16,1,5,15,7920
"440765","P00047242",1001803,"M","26-35",2,"B","1",0,22,1,5,NA,11842
"523181","P00142142",1002594,"M","36-45",7,"C","0",0,30,1,2,15,15656
"386983","P00216342",1005550,"M","36-45",15,"B","2",0,20,3,4,5,10907
"376714","P00138542",1003970,"F","26-35",2,"C","2",1,14,5,6,NA,7105
"245106","P00084942",1001741,"M","36-45",7,"A","4+",1,16,5,8,NA,8818
"129492","P00116842",1001906,"F","26-35",5,"C","1",1,26,2,5,8,13170
"163113","P00154742",1001205,"F","55+",0,"C","1",1,16,8,14,16,7835
"423977","P00017542",1005272,"M","26-35",7,"A","4+",0,14,5,NA,NA,7079
"200430","P00157642",1000979,"M","0-17",10,"A","1",0,36,1,14,16,19159
"53178","P00288942",1002092,"M","55+",1,"B","4+",1,22,1,2,5,11791
"183699","P00223642",1004335,"M","36-45",0,"B","3",0,10,11,15,NA,4683
"115444","P00330342",1005821,"M","26-35",15,"A","3",0,8,5,11,16,3694
"525346","P00101042",1002966,"F","26-35",4,"A","2",0,10,5,12,NA,5305
"174308","P00000142",1002980,"M","46-50",7,"C","4+",1,16,3,4,5,8056
"474834","P00141542",1001164,"F","26-35",19,"A","1",1,14,5,NA,NA,6929
"501935","P00149342",1005324,"M","26-35",7,"C","0",1,2,13,16,NA,937
"107747","P00120042",1004560,"M","26-35",0,"C","1",0,30,1,2,NA,15431
"341582","P00112142",1004531,"M","18-25",4,"C","2",0,30,1,2,14,15213
"139108","P00275842",1003508,"M","18-25",4,"C","0",1,20,2,9,15,10120
"255022","P00261542",1003380,"M","51-55",0,"B","2",1,24,16,NA,NA,12396
"442047","P00145642",1001983,"M","26-35",14,"A","3",0,30,1,8,17,15201
"310336","P00048742",1005824,"M","18-25",12,"B","1",0,10,5,NA,NA,5432
"266639","P00052842",1005070,"M","26-35",2,"A","0",0,44,10,15,NA,23097
"536710","P00190342",1004599,"F","36-45",0,"C","0",1,6,4,12,NA,2828
"464580","P00282042",1005556,"M","46-50",6,"A","0",0,6,5,15,NA,3520
"393040","P00173942",1000509,"M","26-35",2,"A","0",1,16,1,5,6,8281
"151208","P00086242",1005364,"F","26-35",3,"A","3",0,36,10,NA,NA,19160
"338944","P00079942",1004139,"M","55+",14,"B","1",1,16,8,NA,NA,7911
"256224","P00150842",1003536,"M","18-25",4,"C","0",0,6,11,13,16,3154
"165928","P00256642",1001631,"F","51-55",0,"C","4+",0,10,5,NA,NA,5334
"446084","P00249642",1002731,"M","36-45",7,"C","1",0,20,3,5,NA,10664
"2638","P00089342",1000424,"M","26-35",17,"A","3",0,18,8,NA,NA,9847
"447713","P00294242",1002985,"M","18-25",4,"A","2",1,6,4,5,NA,2750
"91863","P00033342",1002100,"F","26-35",0,"C","4+",0,10,5,14,NA,5244
"322607","P00042742",1001676,"M","18-25",4,"B","4+",0,14,5,14,NA,7120
"11386","P00193142",1001721,"M","18-25",19,"C","3",0,10,5,NA,NA,5259
"127106","P00078542",1001601,"M","26-35",12,"C","2",0,22,1,2,16,11633
"337544","P00187442",1003951,"F","18-25",4,"C","3",1,24,2,4,5,12923
"5073","P00159542",1000830,"M","36-45",7,"A","3",0,28,10,15,16,14418
"114401","P00112442",1005654,"M","26-35",4,"A","3",1,32,6,8,NA,16667
"207460","P00289742",1001960,"M","46-50",7,"B","3",1,18,8,NA,NA,9746
"289412","P00190742",1002599,"M","26-35",12,"B","2",0,16,3,4,9,8288
"365530","P00159442",1002195,"M","0-17",10,"A","0",0,16,5,8,NA,8772
"210072","P00362842",1002355,"F","46-50",9,"C","2",1,16,5,18,NA,8692
"240916","P00113142",1001155,"M","26-35",12,"C","0",0,36,1,5,12,19032
"124860","P00117642",1001273,"M","36-45",2,"C","3",1,46,10,16,NA,23550
"397863","P00087242",1001242,"F","36-45",0,"A","0",1,36,14,NA,NA,18548
"182472","P00212842",1004139,"M","55+",14,"B","1",1,16,8,16,NA,8033
"107528","P00234842",1004514,"M","18-25",3,"C","2",1,14,5,6,16,6855
"204645","P00184242",1001591,"M","51-55",7,"C","1",1,28,9,15,NA,14132
"423179","P00305142",1005111,"M","36-45",2,"B","1",1,30,1,NA,NA,15719
"363221","P00302842",1001897,"F","51-55",2,"A","1",1,12,8,13,NA,6176
"396066","P0096342",1000999,"M","26-35",15,"B","2",0,16,8,NA,NA,8060
"368134","P00178942",1002731,"M","36-45",7,"C","1",0,14,5,8,NA,7077
"382837","P00111942",1004889,"M","18-25",4,"C","3",0,16,8,17,NA,7871
"233209","P00270942",1005961,"F","46-50",0,"A","3",0,22,1,2,15,11674
"221400","P00113142",1004090,"M","55+",6,"C","1",1,30,1,5,12,15555
"111237","P00148642",1005124,"M","36-45",2,"B","1",0,32,6,10,13,16559
"417724","P00193042",1004269,"M","36-45",18,"B","1",1,16,5,6,16,8662
"48290","P00245642",1001404,"M","51-55",16,"B","1",1,6,5,11,12,3573
"221414","P00115542",1004093,"M","26-35",4,"C","2",0,18,8,NA,NA,9744
"356255","P00221942",1000913,"M","26-35",0,"C","2",0,8,1,8,NA,4271
"383682","P00160042",1005034,"F","26-35",15,"C","1",1,30,1,13,16,15211
"264568","P00059142",1004725,"M","36-45",5,"A","2",0,12,8,14,NA,6099
"98346","P00174442",1003268,"M","26-35",12,"C","1",0,18,5,NA,NA,8880
"481732","P00033042",1002123,"F","36-45",0,"C","4+",1,14,5,14,NA,7085
"479550","P00270242",1001837,"M","26-35",2,"B","1",0,12,8,NA,NA,6076
"228751","P00155442",1005270,"M","26-35",12,"C","3",1,22,1,11,15,11908
"49983","P00040742",1001647,"M","18-25",18,"B","0",0,16,1,5,NA,7984
"514336","P00129442",1001242,"F","36-45",0,"A","0",1,16,5,8,NA,8746
"98503","P00114042",1003292,"F","51-55",6,"B","3",0,16,5,14,NA,8659
"82951","P00355142",1000828,"M","18-25",4,"C","2",0,30,1,15,NA,15298
"363928","P00021642",1001980,"M","36-45",7,"A","1",0,16,8,14,NA,7842
"408010","P00370442",1002841,"M","51-55",12,"B","1",1,16,8,NA,NA,8084
"308218","P00183042",1005501,"M","26-35",2,"A","3",0,32,15,16,NA,16858
"291673","P00003442",1002990,"M","36-45",12,"B","1",1,6,4,5,8,3517
"308774","P00133442",1005576,"M","26-35",4,"C","3",0,30,1,16,NA,15708
"501319","P00254142",1005220,"M","26-35",7,"B","4+",0,12,8,NA,NA,5951
"356194","P00191942",1000899,"F","26-35",1,"B","3",1,30,2,3,4,15932
"438933","P00248342",1001583,"M","36-45",6,"B","0",0,18,8,13,NA,9822
"121331","P00015642",1000752,"F","26-35",3,"A","3",0,12,8,16,17,6031
"35185","P00149342",1005433,"F","36-45",17,"B","3",1,2,13,16,NA,768
"273035","P00058242",1000036,"M","26-35",3,"B","0",0,20,3,4,12,10816
"29353","P00177342",1004459,"M","26-35",1,"C","4+",0,16,8,NA,NA,8015
"252475","P00242742",1002968,"F","18-25",0,"A","2",0,22,1,2,9,11882
"499935","P00155742",1004980,"M","26-35",1,"B","0",0,18,8,NA,NA,9870
"169738","P00182442",1002155,"F","0-17",10,"C","1",0,14,5,11,NA,6915
"156878","P00220242",1000218,"M","36-45",14,"C","3",1,16,3,12,NA,7943
"13015","P00102242",1001946,"M","26-35",14,"A","1",1,16,8,12,NA,8000
"456158","P00053342",1004210,"M","26-35",17,"C","0",0,22,1,2,4,11933
"328398","P00181242",1002590,"M","18-25",4,"A","0",0,12,11,NA,NA,5969
"196923","P00111442",1000402,"M","26-35",11,"B","1",1,16,8,NA,NA,8042
"42933","P00312142",1000624,"M","26-35",1,"B","3",0,16,8,NA,NA,7977
"106367","P00003442",1004381,"M","26-35",4,"B","3",1,6,4,5,8,3442
"12705","P00143642",1001912,"M","26-35",4,"A","1",1,8,1,2,6,4014
"157502","P00000542",1000325,"F","51-55",3,"A","1",0,16,5,NA,NA,8817
"512543","P00081142",1001010,"M","26-35",0,"A","1",0,32,6,8,14,16525
"193184","P00222242",1005831,"M","26-35",1,"A","2",1,22,1,2,13,11870
"258312","P00237142",1003808,"M","26-35",7,"A","2",1,10,5,NA,NA,5289
"189806","P00052842",1005323,"M","26-35",20,"B","1",1,44,10,15,NA,23215
"317347","P00134342",1000952,"M","55+",16,"C","0",1,16,5,NA,NA,8704
"186852","P00343042",1004823,"M","18-25",4,"B","0",1,14,5,18,NA,7082
"437151","P00028242",1001287,"F","51-55",7,"B","3",0,24,6,8,NA,12418
"95317","P00085242",1002764,"M","26-35",7,"B","1",0,20,8,14,17,9994
"219926","P00263442",1003899,"M","26-35",17,"A","0",0,24,16,NA,NA,12314
"339983","P00048942",1004318,"M","26-35",5,"B","3",0,16,1,4,NA,7977
"309112","P00117442",1005634,"M","26-35",14,"A","3",1,16,5,14,NA,8617
"45782","P00033042",1001068,"F","18-25",4,"B","2",0,10,5,14,NA,5295
"468398","P00248942",1000147,"M","18-25",4,"B","4+",0,22,1,6,14,11725
"200139","P00313042",1000927,"F","26-35",20,"C","1",1,6,5,14,NA,3508
"92133","P00129142",1002129,"M","26-35",5,"B","1",0,14,1,11,NA,7610
"251835","P00214242",1002876,"M","26-35",17,"C","1",1,22,1,16,NA,11922
"520053","P00248742",1002024,"M","0-17",19,"C","2",0,6,5,NA,NA,3427
"480794","P00144642",1002010,"M","18-25",4,"B","0",0,30,1,15,16,15801
"471063","P00350042",1000587,"M","26-35",20,"B","3",0,24,6,8,NA,12227
"485143","P00022642",1002778,"M","55+",13,"B","3",0,16,5,8,NA,8701
"499285","P00270242",1004881,"M","46-50",16,"A","3",1,16,8,NA,NA,7862
"414393","P00259142",1003773,"M","36-45",6,"B","1",0,14,5,NA,NA,7151
"333633","P00200642",1003425,"M","18-25",20,"A","1",0,36,10,16,NA,18981
"101519","P00146142",1003693,"M","26-35",15,"B","1",1,22,1,2,15,11926
"105611","P00062842",1004271,"M","36-45",7,"B","2",0,22,1,2,13,11669
"265362","P00262342",1004858,"M","26-35",1,"C","2",0,8,15,16,NA,4553
"298248","P00102242",1003931,"M","26-35",5,"C","1",0,20,8,12,NA,10035
"77465","P00052642",1005946,"F","55+",1,"A","0",0,14,5,14,NA,7012
"421649","P00214442",1004876,"F","36-45",17,"C","1",0,20,8,NA,NA,9988
"196470","P00209142",1000321,"M","18-25",4,"B","3",0,14,5,8,NA,7008
"132622","P00139742",1002408,"F","46-50",1,"C","2",1,12,8,16,NA,5858
"217659","P00157542",1003592,"F","55+",2,"B","2",1,20,8,14,NA,9983
"150065","P00289642",1005158,"F","18-25",4,"C","4+",0,12,8,NA,NA,6099
"163843","P00144042",1001311,"M","18-25",10,"C","1",0,26,2,3,4,13107
"148843","P00186642",1004965,"M","0-17",10,"C","1",0,26,2,4,15,13246
"411704","P00360042",1003410,"M","36-45",1,"B","3",1,4,8,NA,NA,2322
"94287","P00368242",1002546,"F","55+",13,"C","4+",0,16,5,11,NA,8680
"267777","P00177142",1005265,"M","46-50",1,"B","2",1,20,8,13,NA,10056
"84351","P00258942",1001051,"F","26-35",0,"A","0",1,4,5,11,NA,1795
"162474","P00112142",1001130,"M","18-25",7,"C","1",0,30,1,2,14,15713
"117955","P00277642",1000193,"F","46-50",15,"C","1",1,24,2,3,10,12763
"202792","P00177842",1001291,"F","36-45",0,"A","3",0,16,8,NA,NA,8071
"145672","P00115342",1004448,"M","26-35",14,"A","0",0,16,5,8,14,8673
"208383","P00178342",1002073,"F","18-25",4,"B","4+",0,14,8,NA,NA,7779
"348465","P00179542",1005670,"M","18-25",4,"B","4+",0,14,11,NA,NA,7386
"341526","P00085042",1004519,"M","51-55",7,"C","0",0,14,5,6,NA,6911
"133462","P00202542",1002581,"M","26-35",11,"A","1",0,2,13,16,NA,925
"79396","P00323042",1000216,"M","46-50",13,"B","1",0,14,5,NA,NA,7114
"306259","P00344442",1005178,"M","51-55",0,"C","1",1,14,5,8,14,7153
"236766","P00233442",1000530,"M","26-35",2,"A","1",1,22,1,2,15,11935
"458828","P00117542",1004585,"M","36-45",7,"C","3",0,8,18,NA,NA,3865
"453215","P00319342",1003782,"F","26-35",0,"B","3",0,14,5,8,NA,7142
"497331","P00133442",1004532,"M","26-35",7,"A","2",0,16,1,16,NA,8177
"219974","P00083942",1003910,"M","26-35",20,"A","2",0,4,12,14,NA,1755
"348863","P00109842",1005734,"F","26-35",14,"B","4+",1,12,8,NA,NA,6067
"343512","P00156742",1004867,"M","26-35",16,"A","3",0,16,5,6,8,8617
"450661","P0009842",1003450,"M","26-35",5,"B","3",0,12,8,16,NA,5994
"147778","P00210042",1004793,"F","26-35",6,"B","2",1,14,8,14,NA,7778
"131988","P00303242",1002263,"M","26-35",6,"C","2",1,10,5,8,NA,5423
"69218","P00112642",1004578,"M","26-35",0,"A","4+",0,30,1,2,5,15530
"404920","P00057542",1002235,"M","0-17",10,"C","2",0,10,3,4,5,5691
"18328","P00114742",1002889,"M","36-45",3,"A","1",1,16,8,NA,NA,7914
"351601","P00256642",1000149,"M","26-35",1,"B","2",1,14,5,NA,NA,6902
"347238","P00237542",1005488,"M","26-35",15,"C","1",0,38,1,15,16,19370
"362751","P00206842",1001835,"M","26-35",19,"B","3",0,14,5,14,NA,7160
"476758","P00315042",1001424,"M","36-45",0,"C","2",1,14,8,NA,NA,7768
"479749","P00258742",1001866,"M","26-35",7,"A","4+",1,18,5,NA,NA,8866
"369898","P00000242",1002997,"F","36-45",16,"C","2",0,20,2,4,9,10147
"188205","P00230842",1005048,"F","36-45",7,"C","1",1,18,8,NA,NA,9820
"400937","P00135342",1001680,"M","26-35",20,"A","3",1,10,5,NA,NA,5334
"352958","P00188442",1000352,"M","18-25",4,"A","0",0,16,5,7,NA,8740
"243753","P00039942",1001579,"M","26-35",0,"A","0",0,12,8,NA,NA,5949
"159681","P00157342",1000710,"M","26-35",20,"A","4+",0,12,8,NA,NA,5955
"27543","P00118542",1004221,"M","36-45",4,"C","2",1,16,5,8,NA,8577
"348628","P00046142",1005689,"M","26-35",0,"B","3",0,30,1,16,NA,15442
"256140","P00336542",1003521,"M","26-35",0,"B","3",0,2,12,NA,NA,1435
"227596","P00135742",1005074,"M","0-17",0,"B","2",0,32,6,8,NA,16377
"254580","P00241542",1003311,"M","26-35",4,"A","4+",0,8,1,6,NA,4545
"423663","P00220442",1005217,"M","26-35",17,"B","3",0,14,5,14,NA,7105
"78646","P00274042",1000095,"M","46-50",0,"C","4+",1,38,1,NA,NA,19703
"267078","P0009942",1005126,"M","26-35",11,"B","4+",0,10,5,NA,NA,5467
"117921","P00075942",1000190,"M","26-35",17,"A","1",0,10,5,14,NA,5420
"432025","P00105442",1000524,"M","18-25",0,"A","0",0,8,11,NA,NA,4649
"87582","P00000142",1001499,"M","0-17",10,"C","1",0,20,3,4,5,10729
"412110","P00080342",1003471,"M","18-25",4,"A","1",0,38,1,6,8,19434
"378841","P00286642",1004279,"M","26-35",16,"B","1",0,12,11,14,NA,6112
"515467","P00225842",1001389,"M","26-35",17,"B","4+",1,6,2,4,15,3402
"297163","P00113642",1003782,"F","26-35",0,"B","3",0,16,8,NA,NA,8061
"422530","P00085242",1005021,"M","51-55",6,"B","2",1,18,8,14,17,9759
"202751","P00356942",1001285,"M","36-45",4,"A","0",1,12,8,17,NA,5874
"199746","P00275642",1000867,"M","46-50",12,"C","1",1,12,8,NA,NA,5852
"385516","P00040842",1005337,"F","36-45",3,"C","3",1,32,2,4,NA,16297
"246233","P00037042",1001912,"M","26-35",4,"A","1",1,8,1,15,NA,3811
"108024","P00013942",1004608,"F","26-35",0,"B","3",0,14,5,NA,NA,6856
"117558","P00108842",1000139,"F","26-35",20,"C","2",0,16,5,15,NA,8592
"455492","P00220442",1004086,"F","0-17",10,"B","2",0,16,5,14,NA,8579
"429190","P00147742",1000053,"M","26-35",0,"B","1",0,38,1,16,NA,19664
"437046","P00114842",1001276,"M","36-45",17,"B","2",0,18,5,NA,NA,8883
"120164","P00266842",1000550,"M","46-50",8,"B","1",1,4,5,NA,NA,1955
"309231","P00255842",1005651,"F","26-35",6,"B","4+",1,40,16,NA,NA,20529
"230674","P00057642",1005572,"F","26-35",4,"B","0",1,30,1,15,16,15421
"383279","P00014542",1004963,"M","46-50",17,"B","1",1,16,8,NA,NA,7806
"446956","P00063042",1002870,"M","51-55",18,"B","0",1,4,8,NA,NA,2154
"200381","P00280442",1000971,"M","26-35",12,"B","2",1,12,11,NA,NA,6177
"24725","P00033342",1003821,"M","26-35",20,"A","2",1,10,5,14,NA,5215
"490617","P00191542",1003600,"M","36-45",20,"B","4+",1,6,4,5,NA,2756
"325359","P00140742",1002051,"M","36-45",7,"C","2",0,24,1,15,NA,12054
"27942","P00194642",1004277,"M","36-45",16,"A","0",0,24,1,6,13,12004
"505895","P00103042",1005931,"F","18-25",7,"A","3",0,22,1,14,NA,11515
"420753","P00235442",1004725,"M","36-45",5,"A","2",0,30,1,15,NA,15299
"178548","P00260242",1003614,"M","26-35",0,"B","2",1,10,5,16,NA,5412
"118612","P00317842",1000301,"M","18-25",4,"B","4+",0,14,8,NA,NA,7785
"459999","P00216042",1004796,"M","36-45",7,"A","4+",1,10,5,8,NA,5217
"453571","P00014542",1003825,"M","18-25",1,"B","0",0,8,8,NA,NA,4105
"288010","P00212242",1002311,"F","26-35",4,"B","2",1,12,8,NA,NA,5896
"416503","P00100642",1004064,"M","46-50",0,"A","1",1,10,5,15,NA,5454
"309228","P00044242",1005650,"F","36-45",12,"B","2",1,12,2,4,8,6651
"291503","P00234742",1002953,"M","26-35",20,"C","1",1,20,8,NA,NA,9964
"39867","P00212942",1000136,"M","18-25",2,"B","3",0,4,5,NA,NA,1912
"432407","P00118342",1000574,"M","26-35",19,"C","4+",1,26,2,3,15,13293
"499268","P00299142",1004879,"M","26-35",3,"A","2",0,10,5,NA,NA,5304
"413325","P00040142",1003625,"M","18-25",10,"B","1",0,6,5,NA,NA,3471
"96727","P00173942",1002994,"M","36-45",5,"A","1",1,16,1,5,6,8017
"67674","P00287342",1004360,"F","26-35",9,"B","1",0,14,5,NA,NA,7180
"410882","P00110942",1003294,"M","18-25",4,"B","3",0,38,1,2,NA,19548
"494218","P00002142",1004064,"M","46-50",0,"A","1",1,22,1,5,8,11441
"231377","P00326742",1005682,"M","18-25",0,"B","2",0,14,11,NA,NA,7495
"139651","P00249542",1003579,"M","18-25",0,"C","2",0,30,1,5,15,15300
"415201","P00031042",1003885,"M","26-35",12,"B","4+",1,8,8,NA,NA,3980
"466180","P00148642",1005795,"M","26-35",1,"A","1",1,40,6,10,13,20612
"480653","P00221942",1001983,"M","26-35",14,"A","3",0,22,1,8,NA,11472
"463149","P00148942",1005333,"F","26-35",7,"A","4+",0,12,8,NA,NA,6055
"82421","P00042142",1000739,"M","36-45",12,"C","3",0,36,1,2,6,18958
"278406","P00276042",1000949,"M","51-55",17,"B","4+",1,26,2,8,NA,13259
"205933","P0097242",1001742,"M","26-35",15,"C","4+",1,22,1,16,NA,11800
"492415","P00001642",1003825,"M","18-25",1,"B","0",0,16,8,16,NA,7891
"142377","P00113742",1003957,"M","36-45",11,"B","1",0,16,5,14,NA,8630
"446691","P00131242",1002825,"F","26-35",20,"B","1",1,16,8,NA,NA,8023
"477976","P00114142",1001618,"M","51-55",0,"C","4+",1,18,8,NA,NA,9776
"173084","P00189642",1002788,"M","55+",1,"B","0",1,14,8,13,NA,7769
"250167","P00058242",1002572,"M","36-45",14,"C","1",0,20,3,4,12,10707
"441404","P00044142",1001902,"M","26-35",19,"C","1",0,16,8,16,NA,8097
